D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,2,30971.6
2006-02-28,2,26926.3
2006-03-31,3,29403.5
2006-04-30,3,28083.6
2006-05-31,1,26066.6
2006-06-30,2,31870.5
2006-07-31,0,33811.7
2006-08-31,0,35804.0
2006-09-30,0,33291.8
2006-10-31,0,34814.2
2006-11-30,0,33683.4
2006-12-31,0,35255.7
2007-01-31,0,30723.955
2007-02-28,0,31944.3
2007-03-31,0,33564.7
2007-04-30,1,31675.9
2007-05-31,1,27190.3
2007-06-30,1,34857.1
2007-07-31,2,37620.344
2007-08-31,0,36426.101
2007-09-30,0,34937.033
2007-10-31,1,36546.118
2007-11-30,1,35258.491
2007-12-31,1,35187.286
2008-01-31,1,32956.593
2008-02-29,2,29006.763
2008-03-31,2,31228.406
2008-04-30,2,29953.211
2008-05-31,3,28154.205
2008-06-30,3,31430.128
2008-07-31,2,36691.363
2008-08-31,2,37002.875
2008-09-30,1,29909.648
2008-10-31,1,35597.411
2008-11-30,1,36507.15
2008-12-31,1,35093.066
2009-01-31,1,35059.923
2009-02-28,1,29951.002
2009-03-31,1,32150.27
2009-04-30,1,30597.205
2009-05-31,1,29407.314
2009-06-30,1,29677.087
2009-07-31,2,34575.523
2009-08-31,3,35114.258
2009-09-30,2,34080.742
2009-10-31,2,28106.642
2009-11-30,2,33658.145
2009-12-31,2,33947.342
2010-01-31,2,35537.045
2010-02-28,0,35671.869
2010-03-31,0,34202.089
2010-04-30,0,31152.862
2010-05-31,0,28151.243
2010-06-30,0,32756.344
2010-07-31,0,39776.469
2010-08-31,0,40442.604
2010-09-30,0,41088.145
2010-10-31,0,43212.152
2010-11-30,0,41418.107
2010-12-31,0,40852.149
2011-01-31,0,37901.174
2011-02-28,0,34047.955
2011-03-31,1,32301.987
2011-04-30,2,24044.362
2011-05-31,1,26261.871
2011-06-30,3,25603.131
2011-07-31,2,26932.664
2011-08-31,2,26740.769
2011-09-30,1,26069.366
2011-10-31,1,27188.4
2011-11-30,1,26340.985
2011-12-31,1,27003.322
2012-01-31,1,27272.369
2012-02-29,0,25447.052
2012-03-31,0,27058.035
2012-04-30,0,25597.5
2012-05-31,0,24835.65
2012-06-30,0,30301.25
2012-07-31,0,30226.377
2012-08-31,0,27991.464
2012-09-30,0,26096.874
2012-10-31,0,25225.717
2012-11-30,0,29329.244
2012-12-31,0,33615.69
2013-01-31,0,32875.571
2013-02-28,0,26673.85
2013-03-31,0,15050.128
2013-04-30,0,14217.221
2013-05-31,0,29551.13
2013-06-30,0,31540.347
2013-07-31,0,39238.307
2013-08-31,0,37103.228
2013-09-30,0,31441.39
2013-10-31,0,39944.181
2013-11-30,0,37610.46
2013-12-31,0,41449.352
2014-01-31,0,41174.349
2014-02-28,0,33946.833
2014-03-31,0,36676.347
2014-04-30,0,34047.677
2014-05-31,0,36136.659
2014-06-30,0,38234.746
2014-07-31,0,39701.088
2014-08-31,0,39640.325
2014-09-30,0,38442.966
2014-10-31,0,25791.3
2014-11-30,0,37614.748
2014-12-31,0,40359.023
2015-01-31,1,38440.93
2015-02-28,0,34356.617
2015-03-31,0,41010.007
2015-04-30,0,36059.98
2015-05-31,0,36908.508
2015-06-30,0,35751.815
2015-07-31,0,26336.836
2015-08-31,1,40090.123
2015-09-30,1,40235.817
2015-10-31,1,40260.229
2015-11-30,1,39552.668
2015-12-31,0,41987.096
