D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,2495.356
2006-02-28,0,1899.355
2006-03-31,0,1830.959
2006-04-30,0,1576.392
2006-05-31,0,1557.485
2006-06-30,0,2743.507
2006-07-31,0,2874.868
2006-08-31,0,2736.166
2006-09-30,0,2800.16
2006-10-31,0,2889.516
2006-11-30,0,2760.07
2006-12-31,0,2755.345
2007-01-31,0,2678.388
2007-02-28,0,1735.052
2007-03-31,0,1494.821
2007-04-30,1,1526.308
2007-05-31,1,1427.164
2007-06-30,1,2036.993
2007-07-31,1,2162.481
2007-08-31,0,2520.586
2007-09-30,1,2707.083
2007-10-31,0,2410.517
2007-11-30,0,23.921
2007-12-31,0,2512.42
2008-01-31,0,2494.437
2008-02-29,0,1828.469
2008-03-31,0,1838.618
2008-04-30,0,1873.25
2008-05-31,0,1653.988
2008-06-30,0,2233.199
2008-07-31,0,2601.229
2008-08-31,0,2185.288
2008-09-30,0,2768.881
2008-10-31,0,2842.115
2008-11-30,0,2635.371
2008-12-31,1,2446.792
2009-01-31,1,2288.796
2009-02-28,1,1932.579
2009-03-31,1,1826.614
2009-04-30,1,1580.059
2009-05-31,0,2099.568
2009-06-30,0,1474.439
2009-07-31,1,2185.739
2009-08-31,1,2180.14
2009-09-30,2,1559.559
2009-10-31,2,2017.333
2009-11-30,2,1885.799
2009-12-31,2,2244.744
2010-01-31,3,2409.624
2010-02-28,3,1630.589
2010-03-31,2,1588.581
2010-04-30,3,1520.823
2010-05-31,2,1579.873
2010-06-30,2,1263.444
2010-07-31,0,2051.574
2010-08-31,0,123.903
2010-09-30,0,0
2010-10-31,0,0
2010-11-30,0,0
2010-12-31,0,0
2011-01-31,0,1517.24
2011-02-28,0,2849.244
2011-03-31,0,0
2011-04-30,1,0
2011-05-31,0,0
2011-06-30,0,0
2011-07-31,0,0
2011-08-31,0,0
2011-09-30,0,0
2011-10-31,0,0
2011-11-30,0,0
2011-12-31,0,0
2012-01-31,0,2465.811
2012-02-29,0,1621.929
2012-03-31,0,2174.651
2012-04-30,0,2252.917
2012-05-31,0,2161.648
2012-06-30,0,2256.697
2012-07-31,0,2248.449
2012-08-31,0,2466.288
2012-09-30,0,2420.953
2012-10-31,0,2651.663
2012-11-30,0,2480.576
2012-12-31,0,2489.202
2013-01-31,0,2548.372
2013-02-28,0,2136.982
2013-03-31,0,2087.08
2013-04-30,0,1824.939
2013-05-31,0,1722.85
2013-06-30,0,2444.014
2013-07-31,0,2693.648
2013-08-31,0,2763.613
2013-09-30,0,2276.811
2013-10-31,0,2438.754
2013-11-30,0,2600.981
2013-12-31,0,2723.228
2014-01-31,0,1780.717
2014-02-28,0,1376.335
2014-03-31,0,1935.47
2014-04-30,0,2322.321
2014-05-31,0,2260.308
2014-06-30,0,2265.087
2014-07-31,0,2626.506
2014-08-31,0,2530.287
2014-09-30,0,2513.606
2014-10-31,0,2621.837
2014-11-30,0,775.814
2014-12-31,0,0
2015-01-31,0,1623.105
2015-02-28,0,2161.027
2015-03-31,0,2089.314
2015-04-30,0,1157.775
2015-05-31,0,1736.507
2015-06-30,0,1945.007
2015-07-31,1,2061.875
2015-08-31,1,2036.089
2015-09-30,1,2137.794
2015-10-31,1,2308.92
2015-11-30,0,1276.059
2015-12-31,0,2395.13
