D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,1,22030.078
2006-02-28,3,19200.69
2006-03-31,4,21445.974
2006-04-30,4,29959.357
2006-05-31,4,44037.39
2006-06-30,4,43497.246
2006-07-31,3,76608.559
2006-08-31,1,93247.405
2006-09-30,0,283459.663
2006-10-31,0,98382.063
2006-11-30,0,49398.914
2006-12-31,0,77458.211
2007-01-31,1,176915.762
2007-02-28,1,112560.159
2007-03-31,2,29267.738
2007-04-30,3,31030.738
2007-05-31,2,50962.012
2007-06-30,2,128376.415
2007-07-31,2,82352.7
2007-08-31,0,137897.666
2007-09-30,0,110378.38
2007-10-31,0,77483.578
2007-11-30,1,67665.818
2007-12-31,1,95149.771
2008-01-31,1,109841.718
2008-02-29,2,74246.518
2008-03-31,2,54349.027
2008-04-30,2,38905.901
2008-05-31,2,33336.991
2008-06-30,1,60353.807
2008-07-31,0,70644.435
2008-08-31,0,311433.535
2008-09-30,0,301079.785
2008-10-31,0,95486.094
2008-11-30,0,64325.573
2008-12-31,0,29993.173
2009-01-31,0,43350.042
2009-02-28,0,77377.483
2009-03-31,1,51510.997
2009-04-30,1,39390.473
2009-05-31,1,69266.543
2009-06-30,0,53029.581
2009-07-31,0,110726.052
2009-08-31,0,55358.171
2009-09-30,0,111751.423
2009-10-31,0,192681.986
2009-11-30,0,55189.824
2009-12-31,0,43746.232
2010-01-31,1,44948.505
2010-02-28,1,85471.309
2010-03-31,1,18324.999
2010-04-30,1,23433.783
2010-05-31,1,66602.684
2010-06-30,1,74170.251
2010-07-31,1,106525.974
2010-08-31,0,191920.459
2010-09-30,1,244158.673
2010-10-31,1,96883.383
2010-11-30,1,43277.726
2010-12-31,1,70047.06
2011-01-31,1,62048.156
2011-02-28,1,55933.827
2011-03-31,2,13619.544
2011-04-30,3,30296.021
2011-05-31,3,40381.311
2011-06-30,3,85126.843
2011-07-31,2,25225.651
2011-08-31,1,57702.47
2011-09-30,0,61777.864
2011-10-31,2,24516.505
2011-11-30,2,52434.492
2011-12-31,2,37321.267
2012-01-31,2,10414.081
2012-02-29,2,7145.03
2012-03-31,2,13669.958
2012-04-30,2,15071.15
2012-05-31,2,2053.174
2012-06-30,0,114893.15
2012-07-31,0,126037.164
2012-08-31,0,88836.186
2012-09-30,0,60391.239
2012-10-31,0,43869.349
2012-11-30,0,0
2012-12-31,0,0
2013-01-31,0,5678.886
2013-02-28,0,11340.686
2013-03-31,0,37644.51
2013-04-30,0,12660.898
2013-05-31,0,8812.725
2013-06-30,1,4225.48
2013-07-31,1,6795.575
2013-08-31,1,67954.734
2013-09-30,0,139774.033
2013-10-31,0,146301.377
2013-11-30,0,80322.884
2013-12-31,0,100020.13
2014-01-31,0,102493.756
2014-02-28,0,19874.507
2014-03-31,0,97980.858
2014-04-30,0,79630.34
2014-05-31,0,29580.827
2014-06-30,0,32426.524
2014-07-31,0,34827.752
2014-08-31,0,138477.618
2014-09-30,0,300241.838
2014-10-31,0,125018.325
2014-11-30,0,71596.143
2014-12-31,0,42039.475
2015-01-31,0,35867.014
2015-02-28,0,44210.093
2015-03-31,0,15102.94
2015-04-30,0,26482.694
2015-05-31,0,73222.04
2015-06-30,0,72672.195
2015-07-31,0,288356.291
2015-08-31,0,145114.684
2015-09-30,0,217813.588
2015-10-31,0,109239.4
2015-11-30,0,87054.399
2015-12-31,0,68906.59
