D a t e , D r o u g h t L e v e l , P r o d u c t i o n
2006-01-31,0,287055.374
2006-02-28,0,334252.774
2006-03-31,0,456290.199
2006-04-30,0,452039.068
2006-05-31,0,476137.034
2006-06-30,0,430250.449
2006-07-31,0,453256.547
2006-08-31,0,484927.219
2006-09-30,0,313923.645
2006-10-31,0,100181.353
2006-11-30,0,171986.459
2006-12-31,0,180390.367
2007-01-31,0,157122.478
2007-02-28,0,310919.331
2007-03-31,0,296614.901
2007-04-30,1,299265.335
2007-05-31,1,324799.982
2007-06-30,1,281839.337
2007-07-31,1,246867.828
2007-08-31,0,163234.716
2007-09-30,1,156653.21
2007-10-31,0,63944.982
2007-11-30,0,66481.063
2007-12-31,0,0
2008-01-31,0,147342.679
2008-02-29,0,24782.49
2008-03-31,0,482943.413
2008-04-30,0,663789.043
2008-05-31,0,651842.947
2008-06-30,0,439379.542
2008-07-31,0,565519.435
2008-08-31,0,642389.582
2008-09-30,0,316852.066
2008-10-31,0,322468.673
2008-11-30,0,314602.794
2008-12-31,1,313895.364
2009-01-31,1,231082.597
2009-02-28,1,199655.569
2009-03-31,1,298120.784
2009-04-30,1,356054.82
2009-05-31,0,386423.546
2009-06-30,0,378113.885
2009-07-31,1,390633.793
2009-08-31,1,271987.209
2009-09-30,2,186284.812
2009-10-31,2,166963.075
2009-11-30,2,76242.554
2009-12-31,2,139125.09
2010-01-31,3,122944.857
2010-02-28,3,131874.905
2010-03-31,2,159424.531
2010-04-30,3,155028.064
2010-05-31,2,213237.557
2010-06-30,2,248531.184
2010-07-31,0,435860.384
2010-08-31,0,489994.443
2010-09-30,0,704684.349
2010-10-31,0,758011.274
2010-11-30,0,533652.983
2010-12-31,0,216933.097
2011-01-31,0,257023.401
2011-02-28,0,241022.431
2011-03-31,0,293313.255
2011-04-30,1,484036.199
2011-05-31,0,472438.264
2011-06-30,0,441247.011
2011-07-31,0,383165.773
2011-08-31,0,480163.901
2011-09-30,0,486915.823
2011-10-31,0,544654.775
2011-11-30,0,450018.235
2011-12-31,0,393851.621
2012-01-31,0,379324.249
2012-02-29,0,425773.504
2012-03-31,0,520407.083
2012-04-30,0,489798.786
2012-05-31,0,474038.126
2012-06-30,0,448710.808
2012-07-31,0,389611.432
2012-08-31,0,367446.442
2012-09-30,0,401680.867
2012-10-31,0,278796.642
2012-11-30,0,262510.534
2012-12-31,0,178114.89
2013-01-31,0,91880.759
2013-02-28,0,144431.716
2013-03-31,0,173706.159
2013-04-30,0,204981.129
2013-05-31,0,242525.675
2013-06-30,0,216316.981
2013-07-31,0,244533.888
2013-08-31,0,286657.542
2013-09-30,0,322735.811
2013-10-31,0,402195.31
2013-11-30,0,223776.726
2013-12-31,0,296894.934
2014-01-31,0,518172.749
2014-02-28,0,485024.206
2014-03-31,0,500397.824
2014-04-30,0,437069.197
2014-05-31,0,414958.671
2014-06-30,0,543205.958
2014-07-31,0,703909.755
2014-08-31,0,476529.31
2014-09-30,0,174447.67
2014-10-31,0,125388.359
2014-11-30,0,214044.156
2014-12-31,0,380947.043
2015-01-31,0,208289.362
2015-02-28,0,337092.537
2015-03-31,0,314499.206
2015-04-30,0,437203.636
2015-05-31,0,481419.066
2015-06-30,0,448786.924
2015-07-31,1,320720.772
2015-08-31,1,215276.707
2015-09-30,1,129220.614
2015-10-31,1,83171.074
2015-11-30,0,103948.004
2015-12-31,0,77986.546
